PRODUCT_NAME,CATEGORY_NAME,DESCRIPTION,PRICE,DISCOUNT,IN_STORE_LOCATION
Beach Shorts,Clothing,Splashing in the surf. Making memories with your friends. Beach days are the best days. These shorts are made of stretchy woven fabric. An elastic waistband that features the adidas logo brings a sporty look to your day at the beach.,40,0.0,"Aisle 1, Shelf 1"
Five Ten Kestrel Lace Mountain Bike Shoes,Shoes,Lace up and get after it. The Five Ten Kestrel Lace Mountain Bike Shoes offer efficient pedal power with low-profile style. The wide platform is compatible with all clipless pedals and offers high-friction grip on and off the bike. You'll find the find comfort and versatility for extended trail rides and afterwork hot laps alike.,150,0.0,"Aisle 2, Shelf 1"
Mexico Away Jersey,Clothing,"Clean and crisp, this adidas Mexico Away Jersey for juniors displays a design that began life in an artist's studio. Soft, quick-drying fabric keeps you comfortable. Standing out on the chest, a team badge lets fans show pride in their soccer team.",70,0.0,"Aisle 1, Shelf 2"
Five Ten Hiangle Pro Competition Climbing Shoes,Shoes,"The Hiangle Pro takes on the classic shape of the original Hiangle with the addition of a seamless outsole wrapping around the toes, allowing for maximum rubber contact when tackling the most challenging boulder problems.",160,0.0,"Aisle 2, Shelf 2"
Mesh Broken-Stripe Polo Shirt,Clothing,"Step up to the tee relaxed. This adidas golf polo shirt lets you focus on accurate drives and putts. Four-way stretch matches the body's natural movements. Breathable fabric keeps you comfortable spring, summer and fall. Recycled materials are one step towards reducing plastic waste.",65,0.0,"Aisle 1, Shelf 3"
EQT Spikeless Golf Shoes,Shoes,"Put comfort first. These adidas spikeless golf shoes combine a Bounce midsole and a Boost heel for a lightweight, responsive feel that helps you convert bogie's to birdies. They repel water to keep your feet dry through wet fairways. The versatile rubber outsole ensures easy transitions from your final putt to cold drinks at the clubhouse. Recycled materials are one step towards reducing plastic waste.",110,0.0,"Aisle 2, Shelf 3"
Adicross Hybrid Shorts,Clothing,"On the golf course, comfort is an essential component of keeping your concentration locked in on each shot. Stay focused as the temperature heats up with these ultra-lightweight adidas shorts. Move naturally through your round from the first tee to the 18th green. Then head for the clubhouse feeling ready for whatever comes next.",80,0.0,"Aisle 1, Shelf 4"
Tiro 21 Windbreaker,Clothing,"You can't always be a force of nature in soccer training. So when the intensity drops and the winds pick up, this juniors' adidas Tiro 21 Windbreaker has you covered. Moisture-absorbing AEROREADY and a mesh lining keep you dry. The streamlined silhouette ensures nothing gets in the way of your ball skills on the touchline.

This product is made with recycled content as part of our ambition to end plastic waste.",60,0.0,"Aisle 1, Shelf 5"
Classic 3-Stripes Swimsuit,Clothing,"You can show your concern for the health of the oceans while you increase your fitness in the pool. This adidas swimsuit is designed for comfort and support. Soft and fully lined, it's made with yarn spun from recycled materials. Iconic 3-Stripes tape on the sides gives it a sporty and classic look.",40,0.0,"Aisle 1, Shelf 6"
Formotion Sculpt Biker Short Tights,Clothing,"Sometimes confidence comes in a surprising form. These adidas short tights have a unique sculpted shape to hold you in and targeted compression zones that support your muscles as you bend and stretch. If a compression look is not your thing, order a size up. An adaptive FORMOTION design follows your natural movement for a better fit and greater comfort in motion. A high-rise waist helps you focus, even before class begins.",60,0.0,"Aisle 1, Shelf 7"
